ID,predicted_price
PU-1,1.705475384
PU-2,1.683573813
PU-3,2.609982468
PU-4,1.38147631
PU-5,3.499372581
PU-6,1.690831885
PU-7,1.776776055
PU-8,1.759330123
PU-9,1.215648848
PU-10,1.729558841
PU-11,0.971468983
PU-12,3.643718225
PU-13,0.83073688
PU-14,1.999575636
PU-15,1.394838169
PU-16,0.89765453
PU-17,3.196238725
PU-18,2.797679728
PU-19,0.935727751
PU-20,3.170137441
PU-21,1.733879571
PU-22,1.589459757
PU-23,3.291141052
PU-24,1.637992082
PU-25,2.58366989
PU-26,2.218215852
PU-27,1.993485908
PU-28,1.745446657
PU-29,2.801589346
PU-30,1.700469372
PU-31,4.327373747
PU-32,1.16855348
PU-33,2.985900246
PU-34,1.649855769
PU-35,1.845953823
PU-36,1.391758623
PU-37,1.720536957
PU-38,2.930791414
PU-39,2.378360388
PU-40,2.323203081
PU-41,1.932498269
PU-42,1.197311403
PU-43,1.431429851
PU-44,1.972469198
PU-45,1.833403915
PU-46,0.924180669
PU-47,1.43739319
PU-48,1.451097383
PU-49,0.757093251
PU-50,2.601690073
PU-51,2.647837879
PU-52,1.959708848
PU-53,1.820340861
PU-54,2.23591428
PU-55,0.969066953
PU-56,4.582731426
PU-57,3.237763568
PU-58,2.588218457
PU-59,1.688689741
PU-60,2.39042764
PU-61,1.247576764
PU-62,1.243561637
PU-63,1.931345286
PU-64,1.150025729
PU-65,7.18051439
PU-66,2.113952099
PU-67,1.676803431
PU-68,1.158623359
PU-69,1.204355357
PU-70,2.056685077
PU-71,1.525947204
PU-72,2.437103683
PU-73,1.351264861
PU-74,2.625055154
PU-75,1.664156519
PU-76,0.976849074
PU-77,2.070543631
PU-78,0.801294228
PU-79,1.334137134
PU-80,1.240172378
PU-81,1.275114526
PU-82,1.348790994
PU-83,1.502467601
PU-84,2.059193267
PU-85,3.701043704
PU-86,1.139077381
PU-87,2.818039083
PU-88,1.186292374
PU-89,3.875199288
PU-90,3.507214986
PU-91,0.798036297
PU-92,0.934805522
PU-93,3.319882773
PU-94,1.534995363
PU-95,1.98424413
PU-96,1.730992385
PU-97,1.321812997
PU-98,2.085438406
PU-99,1.832909119
PU-100,0.90630211
PU-101,1.255645345
PU-102,1.592654663
PU-103,1.323673614
PU-104,1.564476896
PU-105,2.49019424
PU-106,1.532717004
PU-107,0.64017874
PU-108,1.45257038
PU-109,2.207176604
PU-110,1.490122359
PU-111,1.391863997
PU-112,2.200200117
PU-113,1.670154639
PU-114,1.944543793
PU-115,2.035777846
PU-116,1.690072284
PU-117,1.91329434
PU-118,1.416753672
PU-119,1.0453353
PU-120,1.460691688
PU-121,1.030744343
PU-122,2.138469795
PU-123,3.199953808
PU-124,1.996572152
PU-125,1.914870593
PU-126,5.059288573
PU-127,2.149663345
PU-128,2.044773314
PU-129,1.463288377
PU-130,1.376094921
PU-131,2.100354261
PU-132,1.116345022
PU-133,2.166375798
PU-134,1.444544306
PU-135,2.007500183
PU-136,1.815312643
PU-137,1.526231477
PU-138,2.214977615
PU-139,1.323372371
PU-140,2.658406208
PU-141,3.958353919
PU-142,0.760673589
PU-143,2.092174654
PU-144,1.241581438
PU-145,1.871264448
PU-146,1.715973668
PU-147,2.19924809
PU-148,0.983674713
PU-149,1.253852793
